latency	type
209931	66
432273	13
530575	14
587076	13
604600	13
663623	14
718304	14
835652	14
974571	13
993171	666
1218096	66
1397193	13
1829396	13
1881666	14
2101385	14
2195074	14
2349359	666
2602496	66
3066644	13
3091879	13
3094370	14
3179112	14
3266688	13
3306693	13
3312310	14
3383503	14
3443042	14
3466214	444
3883757	66
4063585	13
4300704	14
4443266	14
4648909	14
4665753	444
4947280	66
4989558	13
5039763	14
5100522	14
5157173	14
5241711	14
5302207	14
5352182	13
5374171	14
5517161	13
5548075	14
5660846	666
5891141	66
6162139	13
6191410	13
6191572	14
6310885	14
6412655	14
6581921	14
6670181	14
6723023	14
6857510	444
