latency	type
138283	66
218110	13
505259	13
690939	13
774143	13
943837	13
973721	666
1156870	66
1315307	13
1316142	14
1362397	13
1428379	13
1620040	13
1980764	14
2022385	444
2152098	66
2288825	13
2624606	13
2895361	13
2954333	13
3008176	13
3011173	13
3023604	666
3166288	66
3413085	13
3583101	13
3585233	13
3697408	13
3702859	13
3763122	666
3923417	66
4017776	13
4581118	666
4780065	66
5047501	13
5083958	14
5172275	13
5372161	13
5458418	14
5536201	14
5593589	13
5601030	14
5620391	444
