latency	type
66435	66
291375	13
448220	13
601308	14
683418	13
800408	13
936417	13
1019663	14
1177826	13
1230205	13
1234544	13
1287744	13
1404706	13
1520628	13
1526107	14
1527590	444
1756005	66
1802882	13
1817817	13
1874313	13
2113766	13
2130345	13
2215606	14
2796531	14
2941737	13
2945655	666
3206623	66
3420966	13
3427693	14
3559564	13
3843937	14
3894642	13
3965692	13
4024901	14
4104439	14
4248159	13
4286266	13
4357904	13
4402093	13
4403249	13
4413894	13
4415977	13
4431213	666
5146005	66
5283666	14
5602584	14
5750152	13
5872898	14
5986669	14
6169435	13
6212267	666
6552051	66
6701387	14
6777890	13
6883983	14
7047214	13
7201272	14
7321781	14
7444397	14
7639966	13
7721130	14
7834984	13
7835833	14
7957034	13
8050224	13
8067235	666
8335323	66
8450056	13
8513922	13
8641087	13
8726381	13
8764053	13
8815465	13
8817445	13
8818610	13
8839129	13
8856593	13
8919171	13
8959553	13
8961715	13
8965433	13
8974615	666
9240864	66
9441283	13
9538832	13
9601987	14
9697628	14
9950554	13
9956056	666
